Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Andhra Pradesh,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Death rank,9,,
All Population,Andhra Pradesh,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Percent of total deaths,0.0485276278512003,0.0322641059228062,0.07281625701828941
All Population,Arunachal Pradesh,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Death rank,21,,
All Population,Arunachal Pradesh,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Percent of total deaths,0.0005599145930214861,0.00016599397669968992,0.0037253184468713477
All Population,Assam,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Death rank,14,,
All Population,Assam,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Percent of total deaths,0.009898132650664629,0.004461175018771203,0.02413224686667565
All Population,Bihar,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Death rank,13,,
All Population,Bihar,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Percent of total deaths,0.021365497839603075,0.011740755321279626,0.042591377014009
All Population,Chhattisgarh,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Death rank,15,,
All Population,Chhattisgarh,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Percent of total deaths,0.014176345074280058,0.0072049003593468545,0.02561061296277559
All Population,Delhi,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Death rank,9,,
All Population,Delhi,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Percent of total deaths,0.04517216154723944,0.01390182039782565,0.15406883942075786
All Population,Goa,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Death rank,13,,
All Population,Goa,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Percent of total deaths,0.008942082706856348,0.003694660971297602,0.02788122043768181
All Population,Gujarat,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Death rank,13,,
All Population,Gujarat,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Percent of total deaths,0.013237896917689163,0.007460390152282199,0.022920959261364206
All Population,Haryana,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Death rank,12,,
All Population,Haryana,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Percent of total deaths,0.019397972627491544,0.009455522341971922,0.03991305626462486
All Population,Himachal Pradesh,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Death rank,13,,
All Population,Himachal Pradesh,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Percent of total deaths,0.011577426423399156,0.0057455686683405725,0.026960922744992892
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Death rank,15,,
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Percent of total deaths,0.008188922930702728,0.00347184239343061,0.01976404568019549
All Population,Jharkhand,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Death rank,17,,
All Population,Jharkhand,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Percent of total deaths,0.009903645473401546,0.003999036771221274,0.025747632084592274
All Population,Karnataka,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Death rank,10,,
All Population,Karnataka,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Percent of total deaths,0.025532087812747614,0.016512005358203602,0.03914502031068262
All Population,Kerala,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Death rank,21,,
All Population,Kerala,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Percent of total deaths,0.00030370446675752355,0.00011018762335920927,0.0009837929484897226
All Population,Madhya Pradesh,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Death rank,14,,
All Population,Madhya Pradesh,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Percent of total deaths,0.01452058555626975,0.007708251164111048,0.02599640142480133
All Population,Maharashtra,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Death rank,10,,
All Population,Maharashtra,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Percent of total deaths,0.0260513540013942,0.0166458276042606,0.038968283281759365
All Population,Manipur,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Death rank,6,,
All Population,Manipur,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Percent of total deaths,0.07276296303124463,0.04627299056283305,0.11066223704543993
All Population,Meghalaya,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Death rank,20,,
All Population,Meghalaya,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Percent of total deaths,0.0010076401032322612,0.000219238801386962,0.004580009200362669
All Population,Mizoram,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Death rank,3,,
All Population,Mizoram,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Percent of total deaths,0.12530018093650497,0.07262742467783127,0.21795829773758815
All Population,Nagaland,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Death rank,5,,
All Population,Nagaland,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Percent of total deaths,0.09233287603276163,0.05564269136266716,0.15804392310345938
All Population,Odisha,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Death rank,18,,
All Population,Odisha,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Percent of total deaths,0.0038716628635783994,0.0011197192490408172,0.012990115656117828
All Population,Other Union Territories,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Death rank,13,,
All Population,Other Union Territories,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Percent of total deaths,0.012156499497689635,0.008928057253757626,0.016824175375782974
All Population,Punjab,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Death rank,17,,
All Population,Punjab,2021,15-49 years,Both,HIV/AIDS and sexually transmitted infections,Percent of total deaths,0.006297958457251509,0.0033979157004383987,0.012324351379484446
